|nl|srn
398|Het werd donker.|Ai kon dungru.
3886|Ik hief mijn voet op en stampte op de kop van de slang.|Mi opo mi futu trapu a sneki na en ede.
704|Maar de man hield van de vrouw, de vrouw hield van de man.|Ma a man ben lobi a frow, a frow ben lobi a man.
431|Ik weet niet hoe lang ik daar in zo'n toestand ben gebleven.|Dan so mi tan, mi no sabi o langa.
292|Je nam een aantal eieren, brak ze in de prapi en dan ging je ze drillen met een drilstok.|Yu broko yu eksi poti ini a prapi, dan yu e dril yu kuku.
3915|De man en zijn vrouw kwamen binnen en beide begonnen ruzie te maken.|A man nanga en frow kon inisei dan ala tu bigin krutu.
145|Voel je je niet lekker?|Yu no e firi bun?
2823|Sinds mijn moeder weg is, mis ik haar veel.|Sensi mi mama gwe, mi e misi en furu.
2033|De moeder heeft het kind gerammeld, omdat ze stout was.|A mama fon a pikin, bika a hogri.
3654|Robinhood heeft gewonnen, dus je hebt de weddenschap gewonnen.|Robinhood wini, dus yu wini a strei.
1165|Eerst moet je zeggen hoe ik heet.|Yu mu taigi mi fosi fa mi nen.
2050|Al de papiertjes zijn gevouwen.|Ala den papira fow.
3164|Er gaan twee ponden in een kilogram.|Wan kilo abi tu pontu.
339|Vroeger had je Bethesda, Majella en Chatillon; op deze drie plaatsen woonden de melaatse mensen.|Fosi yu ben abi dya Mayella, Bethesda, Chattillon; dri presi pe gwasisma ben e tan.
2505|Wanneer ik vandaag thuis kom zal ik je vertellen wat er werkelijk gebeurd is.|Tide te mi e kon na oso dan mi o taigi yu krinkrin fa a tori de.
265|Ze schrijft echter ook scripts voor documentaires zoals Groeipijnen (2000), over 25 jaar Onafhankelijkheid en In het licht van God, in de schaduw van de mahoniebomen (2002), bij het 70-jarig bestaan van de congregatie Dochters van Maria Onbevlekt Ontvangen.|Nomo a e skrifi fasi fu meki tv-kino tu, leki Gruipijnen (2000) wan kino san e ferteri a tori fu 25 yari Srefidensi, nanga In het licht van God, in de schaduw van de mahoniebomen (2002) ayten a bribi setimakandra fu Dochters van Maria Onbevlekt Ontvangen tapu 70 yari.
2424|Ik heb geen wroeging, want ik heb de man niet gedood.|Mi no abi konsensi fonfon bika a no mi kiri a man.
3390|Als je ziek bent is het niet prettig.|Te yu siki, a no switi.
1771|Toen de politie haar vroeg of die man het gedaan had, aarzelde ze, ze antwoordde niet meteen.|Di skowtu aksi en efu na a man dati du en, a draidrai, a no piki wantron.
271|Hij klom op tot voorman en werkte bij de bouw van de Afobakastuwdam en de wegenaanleg naar de bedrijfslocaties.|"A kren fu kon tron ""voorman"" èn a wroko na a bow fu na Afobakadam nanga a meki fu den pasi go na den wrokopresi."
696|Dit verhaal wordt verteld voor mensen die graag naar verhalen luisteren.|A tori disi na fu sma di lobi yere tori.
747|Of je het geloven wil of niet, de vrouw kwam weer tot leven.|We, yu no bribi lei, yu no bribi tru, a uma kon baka na libi.
244|De cultureel antropoloog Trudi Guda stelde twee publicaties over hem samen: zijn autobiografie Wan tori fu mi eygi srefi en Sye! Arki Tori!, een bloemlezing volksverhalen.|A buku di e ferteri ala sani fu en 'Wan tori fu mi eygi srefi' nanga 'Sye! Arki tori!' wan buku nanga agersitori.
3892|Het kind reeg de kralen aaneen tot een mooie ketting.|A pikin tringi den krara meki wan moi keti fu den.
476|Het werd Misie Griki Koleisi genoemd.|Den ben kari en Mis' Griki Koleisi.
2032|Er rust een vloek op dit huis.|A oso disi abi wan fluku.
3523|Welke persoon gaat winnen?|Sortu sma o wini?
2596|Jij kan me niet beletten om op de openbare weg te lopen!|Yu no kan tapu mi fu waka na lantistrati!
813|Akoeba antwoordde: Waar zal je dat geld vandaan halen?|Akuba taki: Pe yu o feni?
1914|Er is geen spijsolie, dus kook ik maar met varkensvet.|Nyan-oli no de fu feni, dat meki mi e bori nanga agu fatu.
3498|Telkens wanneer ik hem zie, sla ik hem.|Solanga mi e si en, mi e fon en
4084|Toen de man lastig begon te doen, joeg men hem het erf uit.|Di a man bigin du ferferi, den yagi en puru ini a dyari.
1804|Blaffende honden bijten niet.|Takiman a no duman.
2981|Wie rozen wil plukken moet de doornen verdragen.|Ef' yu lobi okro, yu mu lobi en siri tu.
250|In 1983 zette hij een punt achter zijn politiecarrière en ging zich wijden aan gemeenschapswerk en theaterproducties.|Na ini 1983 a tapu wroko na skowtu dan a poti ensrefi gi a wroko gi a libimakandra nanga seti fu kulturuprey.
2461|Het is benauwd! Laten we een koele plaats opzoeken om even te rusten.|A faya! Kon un suku wan kowrupe fu bro un futu.
545|Luister, lang geleden woonde er een familie in een armoedig huis.|Un arki, wan pisten langa kaba, wan famiri ben e libi na wan poti oso.
738|Hij zei: Nee, er gaat niets gebeuren.|A taki: No, noti no o psa.
310|Want je kon de as niet uit de koek halen.|Bika a kuku no ben bun moro. Fa yu e puru a asisi dati fu a kuku?
1131|Ik heb niemand die op hem past.|Mi no abi no wan sma luku en.
1449|Raadsel: Mijn vader heeft honden. De grote bijten niet, maar de kleine wel. Antwoord: Peper.|Raitori: Mi papa abi dagu. Den bigi wan n'e beti, ma den pikin wan e beti. Piki: Na pepre.
4018|De wond is nog niet droog. Het geeft nog wondvocht af.|A soro no drei. A e lon watra ete.
15|Voordat u in verband met uw inverzekeringstelling wordt gehoord mag u maximaal een half uur met uw advocaat overleggen.|Bifo skowtu o yere yu fu di den hori yu, yu mag kruderi no moro leki wan afu yuru nanga yu afkati.
3636|Als je kersen wil stoven, kook je eerst de kersen op, dan doe je er suiker bij.|Te yu wani stofu kersi, yu e kuku den kersi fosi, dan yu e poti sukru gi en.
2894|Vandaag heb ik geen bezwaar om je mijn auto uit te lenen.|Tide mi no abi muiti fu leni yu mi oto.
3328|Wat zijn de dingen die je daar uithaalt?|San na den sani san yu e du dape?
363|Ik trok zo hard dat de plank keerde om en ik viel in het water.|Mi hari so tranga taki a heri planga drai, mi fadon go ini a kriki.
182|Een advocaat zit naast jou in de verhoorkamer en mag:|Wan afkati e sidon na yu sey ini a kamra pe skowtu o tak' nanga yu, a mag fu:
1194|Toen Hendrik vandaag aankwam, groette hij niemand.|Di Hendrik doro tide, a no taki no wan sma odi.
2562|Ik was niet blij, maar lachte gemaakt om haar niet te beledigen.|Mi no ben firi prisiri, so mi meki lafu meki a sma no firi wan fasi.
1121|Anansi liep met het kleine mandje.|Anansi ben waka nanga a pikin baskita.
4020|Als de papaja bedorven is, zie je hoe hij vocht afstoot.|Te a papaya pori, dan yu e si fa a e lon watra.
1182|Hoe ken jij die naam?|Fa yu du sabi a nen?
3026|In Engeland gaan alleen luidruchtige mensen naar een voetbalwedstrijd.|Na soso opruru sma e go luku futbal na Engeland.
614|Toen kwamen de kinderen terug van school en ze aten.|A ten dati den pikin kmopo na skoro, den nyan tu.
1466|Ik zal je thuis brengen. Begin alvast je spullen in de auto te zetten.|Mi o poti yu na oso. Bigin poti yu sani ini a wagi.
401|Er waren ook andere mannen die geen kar hadden om hun worst te vervoeren, zij stopten het in een emmer.|Dan yu ben abi son man di no ben abi wagi fu waka nanga a worst, ma den ben poti en ini wan embre.
934|Wat heb ik gedaan?|San mi du?
2419|Die twee vrouwen die je daar ziet zitten, zitten over anderen te roddelen.|Den frow san yu e si sidon dape, na konkru den e konkru sma tori.
2727|De schroef van deze deur zit los.|A skrufu fu a doro disi lusu.
2718|Als een zwangere vrouw iets lust, en niet krijgt, en dan een plek op haar lichaam aanraakt, dan krijgt het kind een moedervlek daar.|Te wan bereman e lostu wan sani, efu a no kisi a sani èn a fasi wan presi na en skin, dan a pikin o kisi wan lostuflaka dape.
726|EniIn die boot zat een oude man, een oude man die veel had meegemaakt.|Èn na ini a boto dati wan granpapa ben sidon, wan granmasra di ben abi furu ondrofeni.
826|Koop wat groente en wat verder nog nodig is.|Go bai gruntu nanga tra sani.
1521|Albert, kan je een boodschap voor me gaan doen bij tante Fransje?|Albert, yu kan go du wan boskopu gi mi na tante Fransye?
136|Als dat zo is, moet je maximaal 3 dagen blijven (dit noemen we inverzekeringstelling).|Efu na so dan yu abi fu tan 3 dey, no moro langa (disi w'e kari inverzekeringstelling).
628|De kinderen en de vrouw huilden.|Ma di den pikin e bari so, a frow e bari tu.
334|Nu is alles mooi geworden.|Ala presi kon moi.
390|Hij zat voor de Chinese winkel op de stoep pinda te verkopen.|Ai sidon na fesi a sneisi wenkri tapu a stupu e seri pinda.
3173|Leg het boek op de tafel.|Poti a buku tapu a tafra.
1817|Toen ik vandaag bij de direkteur ging, heeft hij me zodanig afgesnauwd dat ik niets meer kon zeggen.|Di mi go na driktoro tide, a dyam mi taki mi no ben man taki noti moro.
3730|Vroeger maakten de vrouwen een bijeengeknoopte bundel van het wasgoed en droegen het op hun hoofd.|Fosi den umasma ben e meki wan taitai fu den was'krosi dan den tyari en tapu den ede.
710|Ik hoef u niet te zeggen hoe het de man speet.|Mi naf taigi yu fa a man sari.
1039|Stuur uitnodigingskaarten om ze te zeggen dat tijger een feest geeft.|Seni karta go kari den taki Tigri e gi wan fesa.
3624|Zolang het document niet gestempeld is, heeft het geen waarde.|Solanga den no stampu a papira, a no abi warti.
3695|De vruchten die wij in azijn laten trekken noemen we zuurgoed.|Den froktu san wi poti tapu asin wi e kari swasani.
1561|Ik ga een beetje uitrusten. Ik heb de hele dag gelopen.|Mi e go bro pikinso. Heri dei mi waka.
3807|Het maak niet uit of je rijk bent, wat belangrijk is, is of je gezond bent.|A no abi trobi efu yu gudu, san e teri na efu yu gesontu nomo.
3476|Mama, het water kookt al. De ketel geeft stoom af.|M'ma, a watra bori kba. A ketre e puru smoko.
1112|Dan leg je mij in een mandje en zet je een papfles naast mij neer.|Dan yu e poti wan pikin batra papa na mi sei na ini wan baskita pe mi o didon.
2513|Je moet niet in kuilen rijden met je fiets, anders ga je de wielen krom maken.|I no mu rei ini den olo-olo nanga yu baisigri, noso yu o kron den wiel.
1223|Ze hebben het huis niet afgemaakt, omdat ze geen geld meer hebben.|Den bow a oso af'pasi, bika den no abi moni moro.
2752|Gunst! Ik moest de hele morgen wachten voordat ik een stempel kreeg.|Man! Mi ben mu wakti heri mamanten fosi den ben naki a stampu gi mi.
2421|Toen die vrouw bij de andere iets over haar buurvrouw influisterde, schrok ze aangezien ze haar buurvrouw zag aankomen.|Di a frow ben konkru na a trawan abra en birfrow, a skreki di a si en birfrow e waka e kon.
1508|Ik heb een lekke band.|A banti boro.
1750|Deze man is onbetrouwbaar. Je moet voorzichtig met hem zijn.|A man disi doti. Yu mus luku bun nanga en.
3714|Als je onder de markt bent, duwt men je van alle kanten.|Te yu de na ondro wowoyo, den sma e syobu yu fu ala sei.
338|Weet je wat Bethesda is? Heb je daarover gehoord? Bethesda is een plaats waar leprapatiënten werden verpleegd.|Yu sabi Bethesda? Yu yere fu Bethesda? Bethesda na pe den gwasisma, den kokobesma ben e tan.
215|Vind je dat het goed is opgeschreven?|Yu agri nanga san skrifi, fa a skrifi?
1341|Voordat je de kip stooft, moet je het eerst een beetje bakken.|Fosi yu stofu a fowru, baka en pikinso.
3470|Jouw eten ruikt lekker!|A nyanyan fu yu e smeri switi!
3877|De kinderen baden ernstig tot God om hun moeder weer beter te laten worden.|Den pikin begi Gado trangatranga fu meki den m'ma kon betre baka.
2669|Gelijk na de samenkomst, viel het licht uit.|Let' baka a konmakandra, faya gwe.
2571|Ik ben vanmorgen vergeten te tanken, daarom zit ik zonder brandstof.|Mi fergiti fu lai oli dimamanten, dat' meki mi lon drei.
2787|Vanavond hebben we meneer Anijs uitgenodigd om over zijn werk te praten.|Tide neti wi o kari masra Anijs fu kon taki abra en wroko.
2322|Als je de klok 's avonds niet opwind, zal hij morgenochtend niet alarmeren.|Efu yu no gi a oloisi keti te neti, a no o bari tamara mamanten.
101|Informatie voor ouders, voogd of verzorgers|A afkati disi ini wan ten sa wroko spesrutu gi yu, a no e wroko gi skowtu.
2953|Je moet daar niet gaan anders zal je een ongeluk krijgen.|Yu no mus go drape noso yu o kisi mankeri.
171|Je praat ongeveer een half uur met de advocaat.|Un kan taki wan afu yuru so. Efu dat' no sari un kan kisi moro ten.
107|Meer informatie Ga voor meer informatie naar www.juridischloket.nl of bel met 0900 - 8020 (€ 0,25 per minuut).|Moro sabiso
3585|Ik weet niet wat het probleem is met de wagen. Elke morgen kost het me veel moeite om hem te starten.|A wagi e spuku mi. Ala mamanten mi mu feti nanga en fosi a start.
4114|Je moet niet voor tien uur komen.|Yu no mus kon fosi tin yuru.
3028|De moeder hield het kind vast aan de arm.|A m'ma ori a pikin na en anu.
2755|Je kan kinderen niet op zo een manier opvoeden.|Yu no kan kweki pikin tapu so wan maniri.
2623|Als deze jongen van school komt, verzint hij heel wat leugenverhalen.|Te a boi disi e kmopo skoro, a e ferteri wan lo leitori.
2800|Waarom ben je ook zo laat gekomen?|Fu sanede meki yu kon so lati?
2955|Vroeger kon je een broek goedkoop kopen, maar nu moet je er veel voor betalen.|Fosi yu ben bai wan bruku bunkopu, ma now yu e pai diri fu en.
3097|We zullen niet al de mannen op jacht meenemen. We zullen de beste uitkiezen.|Un no o go onti nanga ala den man. Un o piki den moro bun wan.
3217|Als je de borden gewassen hebt, moet je ze afdrogen en op hun plaats zetten.|Te yu kba wasi den preti, yu mu drei den dan yu poti den na den presi.
4090|Waar ga je de jaarwisseling vieren?|Pe yu o go nyan yari?
1040|Iedereen moet naar het feest komenaan.|Alamala mu kon na a fesa.
2877|Voor de maand om is heb ik geen geld meer.|Fosi mun tapu dan ala mi moni kba.
2120|Ze wilden me met geweld buiten zetten, maar ik heb me verzet.|Den ben wani poti mi nanga tranga na dorosei, ma mi kaka futu gi den.
1524|Ik wil aan een ieder vragen om dit bericht verder door te geven.|Mi wani aksi ala sma fu lolo a boskopu disi go moro fara.
3536|Kleed dat kind aan. Kijk, ze ligt daar naakt.|Weri krosi gi a pikin. Luku, a didon sososkin dape.
2248|Mijn moeder vertelde me een geheim van mijn opa.|Mi mama ferteri mi wan inibere tori fu mi granpapa.
481|Maar ik weet niet precies waar.|Ma mi no sabi pe.
3240|De jongens houden ervan om met hun mooie autos te pronken.|Den boi lobi prodo nanga den moi wagi fu den.
3599|Je weet het zelf wat het betekend om verlamd te zijn.|Yu srefi sabi a sani dati, san wani taki yu lan.
1762|Voordat je iets koopt, moet je hem omdraaien en van alle kanten bekijken voordat je ervoor betaalt.|Te yu o bai wan sani, yu mus drai en lontu luku ala sei fosi yu pai fu en.
3468|De broek is mij te klein.|A bruku smara gi mi.
3507|Rum wordt van suiker gemaakt.|Sopi e meki fu sukru.
3503|Ik houd niet zoveel van snijbonen.|Mi no lobi bontyi someni.
2815|Geef hier.|Gi mi en dya.
405|Maar wat ik het ergste vond was dat ik mijn stukje worst voor die middag niet kreeg.|Mi sari sote, yeri, fu a tori dati, dat mi no kisi a pisi worst.
757|Ze kookte het eten in de boot, daarna gingen ze weer de rivier op.|Den e bori ini a boto, dan den go baka na mindri liba.
2696|De vrouw heeft die medicijn voor haar lichaam gesmeerd.|A frow lobi a dresi gi en skin.
97|De politie moet je vertellen waar je van verdacht wordt.|Den brey yu tyari yu kon na skowtu-oso
1333|Laat het maar. Maak je niet druk.|Libi en, no bada.
3287|Als je een school voorbij rijdt, moet je langzaam rijden.|Te yu e rei psa wan skoro, yu mu rei safri.
3825|Ik kan niet tegen de stank van de vuilniswagens.|Mi no man nanga a tingi fu den dot'wagi.
3358|Terwijl hij at, beet hij de binnenkant van zijn wang.|Di a ben e nyan, a beti en seimofo.
2058|Het is een te grote verantwoordelijkheid. Ik kan het niet dragen.|A frantwortu disi bigi tumsi. Mi no man tyari en.
3462|Iedereen die zestien jaar geworden is, is verplicht een ID-kaart te maken.|Ala sma di tapu tin-na-siksi yari mus fu meki wan ID-karta.
148|Zodra het niet meer nodig is dat je bij de politie moet blijven, moet je worden vrijgelaten.|A momenti taki a no de fanowdu moro fu den hori yu, skowtu mus' lusu yu fu yu kan gwe.
28|De autoriteiten in het land dat om uw overlevering heeft gevraagd voorzien u daarna van informatie over de mogelijkheden om ook in dat land een advocaat in te schakelen.|Lanti fu a kondre san aksi fu lever yu uit, o gi yu enforma abra a fasi fu teki owktu wan afkati na ini a kondre dati.
2817|Hoe kan de jongen tussen beide auto's passeren?|Fa a boi kan psa mindri den tu oto?
3531|Voor niemendal heb ik speelgoed voor de kinderen gekocht.|Fu soso mi bai den preisani gi den pikin.
692|Zo is het.|A so a de.
1386|De man is vol streken.|A man tya banti.
1845|De dief heeft de vrouw doodgestoken.|A fufuruman dyuku a frow kiri.
2822|Ik miste bij het kappen van de slang.|Mi misi fu kapu a sneki.
1599|Alles ging goed. Maar toen Boiki kwam, bracht hij alles in de war.|Ala sani ben e waka bun, ma di Boiki kon a bruya ala sani.
701|Lang geleden, gingen twee jonge mensen samenwonen.|Langa langa yari kba, tu yongu sma ben seti libi.
1708|Hij doet als een dove, maar hij is niet doof. Hij wil niet horen.|A e prei dofuman, ma a no dofu. A no wani yere.
